RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-05-03;VBBR3;BRVBBRACNOR1;VBBR;28226585;13,486874;1;380688395,44
2023-05-03;VCJR11;BRVCJRCTF005;VCJR;2;87,95;1;175,9
2023-05-03;VERZ34;BRVERZBDR008;VERZ;8012;31,6098315;1;253257,97
2023-05-03;VGHF11;BRVGHFCTF005;VGHF;67553;8,8810701;1;599942,93
2023-05-03;VGIP11;BRVGIPCTF002;VGIP;10746;79,0276921;1;849231,58
2023-05-03;VGIR11;BRVGIRCTF008;VGIR;10368;9,3789033;1;97240,47
2023-05-03;VIGT11;BRVIGTCTF004;VIGT;35;67,01;1;2345,35
2023-05-03;VIIA3;BRVIIAACNOR7;VIIA;228373453;1,842599;1;420800705,7
2023-05-03;VILG11;BRVILGCTF001;VILG;4798;90,9705418;1;436476,66
2023-05-03;VINO11;BRVINOCTF001;VINO;9796;42,2779838;1;414155,13
2023-05-03;VISA34;BRVISABDR000;VISA;74089;57,9418654;1;4292854,87
2023-05-03;VISC11;BRVISCCTF005;VISC;1749;103,6024699;1;181200,72
2023-05-03;VITT3;BRVITTACNOR4;VITT;170502;11,2270546;1;1914235,27
2023-05-03;VIUR11;BRVIURCTF009;VIUR;4236;7,29;1;30880,44
2023-05-03;VIVA3;BRVIVAACNOR0;VIVA;4432084;21,1213869;1;93611761,3
2023-05-03;VIVR3;BRVIVRACNOR4;VIVR;3966729;0,3542837;1;1405347,44
2023-05-03;VIVT3;BRVIVTACNOR0;VIVT;18398957;40,3830269;1;743005575,56
2023-05-03;VLID3;BRVLIDACNOR5;VLID;416943;10,0870103;1;4205708,37
2023-05-03;VRTA11;BRVRTACTF008;VRTA;1372;82,9716545;1;113837,11
2023-05-03;VSLH11;BRVSLHCTF008;VSLH;10736;4,2684165;1;45825,72
2023-05-03;VSTE3;BRVSTEACNOR5;VSTE;196027;15,5383831;1;3045942,63
2023-05-03;VTLT11;BRVTLTCTF001;VTLT;329;91,2619452;1;30025,18
2023-05-03;VULC3;BRVULCACNOR2;VULC;992254;12,3101839;1;12214829,3
2023-05-03;VVEO3;BRVVEOACNOR0;VVEO;957666;15,6429918;1;14980761,47
2023-05-03;WALM34;BRWALMBDR005;WALM;41502;46,8751103;1;1945410,83
2023-05-03;WEGE3;BRWEGEACNOR0;WEGE;39311200;40,0873435;1;1575881579,81
2023-05-03;WEST3;BRWESTACNOR3;WEST;2222846;1,1121497;1;2472137,52
2023-05-03;WFCO34;BRWFCOBDR009;WFCO;10487;49,196877;1;515927,65
2023-05-03;WHGR11;BRWHGRCTF008;WHGR;819;8,36;1;6846,84
2023-05-03;WHRL3;BRWHRLACNOR5;WHRL;18;4,38;1;78,84
2023-05-03;WHRL4;BRWHRLACNPR2;WHRL;392;4,396301;1;1723,35
2023-05-03;WIZC3;BRWIZCACNOR5;WIZC;1019079;5,8405705;1;5952002,84
2023-05-03;WLMM3;BRWLMMACNOR6;WLMM;3;22;1;66
2023-05-03;WLMM4;BRWLMMACNPR3;WLMM;23;19,1447826;1;440,33
2023-05-03;WRLD11;BRWRLDCTF007;WRLD;200807;81,1563785;1;16296768,91
2023-05-03;XBOV11;BRXBOVCTF005;XBOV;241;99,6864315;1;24024,43
2023-05-03;XFIX11;BRXFIXCTF004;XFIX;12368;9,9639545;1;123234,19
2023-05-03;XINA11;BRXINACTF006;XINA;108806;5,9901357;1;651762,71
2023-05-03;XMAL11;BRXMALCTF002;XMAL;264;5,9066287;1;1559,35
2023-05-03;XPBR31;BRXPBRBDR001;XPBR;4122636;63,5638889;1;262050777,08
2023-05-03;XPCI11;BRXPCICTF007;XPCI;1724;80,1045127;1;138100,18
2023-05-03;XPIN11;BRXPINCTF004;XPIN;127;69,8147244;1;8866,47
2023-05-03;XPLG11;BRXPLGCTF002;XPLG;62700;96,3837891;1;6043263,58
2023-05-03;XPML11;BRXPMLCTF000;XPML;36585;100,3093396;1;3669817,19
2023-05-03;XPPR11;BRXPPRCTF000;XPPR;9826;24,797531;1;243660,54
2023-05-03;XPSF11;BRXPSFCTF009;XPSF;2;6,92;1;13,84
2023-05-03;YDRO11;BRYDROCTF007;YDRO;6;38,13;1;228,78
2023-05-03;YDUQ3;BRYDUQACNOR3;YDUQ;19020981;8,2890172;1;157665239,41
2023-05-03;Z1OM34;BRZ1OMBDR000;Z1OM;5;14,446;1;72,23
2023-05-03;Z1TS34;BRZ1TSBDR006;Z1TS;2;53,98;1;107,96
2023-05-03;Z2LL34;BRZ2LLBDR006;Z2LL;40;18,66;1;746,4
2023-05-03;Z2SC34;BRZ2SCBDR000;Z2SC;1827;17,1468965;1;31327,38
2023-05-03;ZAMP3;BRZAMPACNOR5;ZAMP;1522359;4,0202736;1;6120299,7
